Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C14, C2, C3, C6, C8",0603,7,4.7uF/10V/X5R,C19666
"C10, C12, C13, C7, C9",0603,5,100n,C14663
C15,0603,1,4.7nF/NP0,C53987
"C4, C5",0603,2,22pF/NP0,C1653
D1,0603,1,RED,C2286
D2,0603,1,GREEN,C965804
"FB1, FB2",0603,2,600R@100MHz,C1002
Q1,SOT-363_SC-70-6,1,BC847BS,C8653
"R1, R17, R3, R4, R8, R9",0603,6,1.5K,C22843
"R10, R6",0603,2,5.1K,C23186
"R11, R12, R15, R18, R5, R7",0603,6,100R,C22775
"R13, R14",0603,2,22R,C23345
R16,0603,1,4.7K,C23162
R2,0603,1,2.2K,C2907117
"U1, U2",SOT-223-3_TabPin2,2,TLV1117-33,C37359
U3,LQFP-48_7x7mm_P0.5mm,1,STM32F302CBTx,C94046
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering,1,8MHz/20pF,C115962
