Designator,Mid X,Mid Y,Rotation,Layer
C1,19.369733,10.317767,0.0,top
C10,14.032233,19.3,270.0,top
C11,14.119733,35.630267,270.0,top
C12,17.119733,33.130267,180.0,top
C13,20.032233,19.692767,270.0,top
C14,23.132233,19.717767,90.0,top
C15,17.119733,37.7,180.0,top
C2,9.232233,10.317767,0.0,top
C3,7.85,35.6,270.0,top
C4,7.232233,12.517767,180.0,top
C5,14.232233,12.517767,0.0,top
C6,18.982233,40.767767,180.0,top
C7,12.482233,19.2875,270.0,top
C8,20.119733,28.580267,180.0,top
C9,20.119733,30.080267,0.0,top
D1,7.05,22.7,270.0,top
D2,5.46,22.7,90.0,top
FB1,9.482233,41.767767,90.0,top
FB2,16.732233,11.317767,270.0,top
J1,12.982233,56.142767,90.0,top
J2,2.45,37.32,180.0,top
J3,23.482233,8.267767,0.0,top
J4,2.482233,8.227767,0.0,top
Q1,17.982233,16.017767,180.0,top
R1,13.982233,41.767767,270.0,top
R10,17.119733,36.130267,180.0,top
R11,12.619733,35.630267,90.0,top
R12,9.45,35.630267,90.0,top
R13,18.532233,19.692767,90.0,top
R14,18.082233,13.767767,0.0,top
R15,21.582233,19.680267,270.0,top
R16,20.182233,24.980267,0.0,top
R17,24.682233,19.680267,270.0,top
R18,11.05,35.6,270.0,top
R2,4.882233,25.5,0.0,top
R3,4.882233,27.0,0.0,top
R4,23.482233,13.467767,180.0,top
R5,3.96,22.7,90.0,top
R6,17.119733,39.25,0.0,top
R7,17.119733,34.630267,180.0,top
R8,15.532233,19.692767,270.0,top
R9,17.032233,19.692767,270.0,top
U1,17.982233,5.117767,90.0,top
U2,7.982233,5.067767,90.0,top
U3,13.232233,26.605267,0.0,top
Y1,10.482233,15.267767,0.0,top
